site_number,latitude,longitude,state,county,city,Carbon monoxide,Nitrogen dioxide (NO2),Ozone,PM10 Total 0-10um STP,PM2.5 - Local Conditions,Sulfur dioxide,aqi,date,year,month
2,40.253611,-111.663056,Utah,Utah,Provo,,43.0,27.0,34.5,83.5,,83.5,2017-01-01,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,5.0,24.0,23.0,8.0,22.5,,24.0,2017-01-02,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,8.0,45.0,18.5,17.0,43.0,,45.0,2017-01-03,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,8.0,41.0,31.0,4.0,4.5,,41.0,2017-01-04,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,3.0,27.0,29.0,7.0,19.0,,29.0,2017-01-05,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,7.0,42.0,26.0,19.0,51.5,,51.5,2017-01-06,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,6.0,43.0,17.0,28.0,66.0,,66.0,2017-01-07,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,9.0,37.0,19.0,10.0,37.5,,37.5,2017-01-08,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,6.0,53.0,25.0,3.0,3.5,,53.0,2017-01-09,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,3.0,29.0,35.0,5.0,5.0,,35.0,2017-01-10,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,3.0,24.0,33.5,4.0,3.0,,33.5,2017-01-11,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,8.0,38.0,12.0,10.0,32.5,,38.0,2017-01-12,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,7.0,35.0,15.0,26.0,68.0,,68.0,2017-01-13,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,7.0,34.0,23.0,30.0,71.5,,71.5,2017-01-14,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,3.0,18.0,30.0,18.0,55.0,,55.0,2017-01-15,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,3.0,23.0,31.0,19.0,51.0,,51.0,2017-01-16,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,5.0,39.0,31.0,25.0,55.0,,55.0,2017-01-17,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,8.0,42.0,23.0,,57.0,,57.0,2017-01-18,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,8.0,41.0,11.5,15.0,38.0,,41.0,2017-01-19,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,7.0,33.0,29.0,,38.5,,38.5,2017-01-20,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,6.0,33.0,32.0,,18.0,,33.0,2017-01-21,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,6.0,33.0,30.0,,17.0,,33.0,2017-01-22,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,3.0,36.0,37.0,,4.0,,37.0,2017-01-23,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,6.0,47.0,36.0,,24.0,,47.0,2017-01-24,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,3.0,25.0,35.0,9.0,28.5,,35.0,2017-01-25,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,5.0,32.0,32.0,11.0,35.5,,35.5,2017-01-26,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,6.0,30.0,31.0,20.0,50.0,,50.0,2017-01-27,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,6.0,49.0,32.0,31.0,67.5,,67.5,2017-01-28,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,7.0,,34.0,39.0,83.0,,83.0,2017-01-29,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,11.0,55.0,28.0,57.0,116.5,,116.5,2017-01-30,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,11.0,,16.0,67.5,142.5,,142.5,2017-01-31,2017,1
2,40.253611,-111.663056,Utah,Utah,Provo,15.0,56.0,9.0,78.0,152.5,,152.5,2017-02-01,2017,2
2,40.253611,-111.663056,Utah,Utah,Provo,11.0,58.0,24.0,32.0,42.0,,58.0,2017-02-02,2017,2
2,40.253611,-111.663056,Utah,Utah,Provo,11.0,42.0,27.0,20.0,30.5,,42.0,2017-02-03,2017,2
2,40.253611,-111.663056,Utah,Utah,Provo,7.0,34.0,38.0,12.0,13.0,,38.0,2017-02-04,2017,2
2,40.253611,-111.663056,Utah,Utah,Provo,7.0,32.0,39.0,9.0,12.0,,39.0,2017-02-05,2017,2
2,40.253611,-111.663056,Utah,Utah,Provo,5.0,18.0,35.5,10.0,5.5,,35.5,2017-02-06,2017,2
2,40.253611,-111.663056,Utah,Utah,Provo,3.0,13.0,31.5,8.0,4.5,,31.5,2017-02-07,2017,2
2,40.253611,-111.663056,Utah,Utah,Provo,8.0,38.0,29.0,16.0,9.0,,38.0,2017-02-08,2017,2
